file	role	objective	bytes	sha256	encoder_params	d_model	epochs	last_logged_step	has_feat_norm	strict_load_into_AlignEncoder	description
ckpt/encoder_abl_combined.pt	ablation	mam_vicreg	2613402	5c77e5b15e132cd5597b2957b77a5200349157d81efc6d9c984b47c140230608	647078	128	25	20800	0	OK	Objective ablation, Section 4.5. Objective: both terms (MAM + VICReg). 80,000-window two-sample pretraining corpus (superseded). NOT used by the reported ablation, for two reasons: it predates the corpus rebuild, and the reported combined arm is served by the four main encoder_ssl_seed*.pt encoders (4 seeds in Table 4) rather than by a dedicated single-seed combined checkpoint. Retained for provenance.
ckpt/encoder_abl_maeonly.pt	ablation	mam_vicreg	2613326	30b325371c3894a4f90eed92ed0a54b7e65b9e1099ee18d5d56c5d2e01c7bbea	647078	128	25	20800	0	OK	Objective ablation, Section 4.5. Objective: MAM only (w_vicreg=0). 80,000-window two-sample pretraining corpus (superseded). NOT used by the reported ablation: predates the corpus rebuild. Hyperparameters are otherwise identical across the two corpus generations.
ckpt/encoder_abl_maeonly_120k.pt	ablation	mam_vicreg	2613770	6932cb14c9e4a3804703173899051d108a12ff9a7d327c08df7589eb6fede7e4	647078	128	25	31200	0	OK	Objective ablation, Section 4.5. Objective: MAM only (w_vicreg=0). 120,000-window six-sample pretraining corpus. USED by the reported Section 4.5 ablation. Hyperparameters are otherwise identical across the two corpus generations.
ckpt/encoder_abl_maeonly_120k_seed1.pt	ablation	mam_vicreg	2614226	7ca0c83786157ff7486508f9ea994b32463a9ca761fe15503ee3f2c1831a765d	647078	128	25	31200	0	OK	Objective ablation, Section 4.5. Objective: MAM only (w_vicreg=0). 120,000-window six-sample pretraining corpus. USED by the reported Section 4.5 ablation. Hyperparameters are otherwise identical across the two corpus generations.
ckpt/encoder_abl_maeonly_120k_seed2.pt	ablation	mam_vicreg	2614226	034b8633b8098fe2c2fc84140453ca1c5cb476ad443a9a29e3b1a5f2a7502b59	647078	128	25	31200	0	OK	Objective ablation, Section 4.5. Objective: MAM only (w_vicreg=0). 120,000-window six-sample pretraining corpus. USED by the reported Section 4.5 ablation. Hyperparameters are otherwise identical across the two corpus generations.
ckpt/encoder_abl_viconly.pt	ablation	mam_vicreg	2613326	9f7a652974bd84910111cf75d95eb571afc1b560ad0aecc777543a983de62b4e	647078	128	25	20800	0	OK	Objective ablation, Section 4.5. Objective: VICReg only (w_mae=0). 80,000-window two-sample pretraining corpus (superseded). NOT used by the reported ablation: predates the corpus rebuild. Hyperparameters are otherwise identical across the two corpus generations.
ckpt/encoder_abl_viconly_120k.pt	ablation	mam_vicreg	2613770	9ca27dd5d9a6419323dc1272b37f2630542abeb5fed03196295ffdb5aae33119	647078	128	25	31200	0	OK	Objective ablation, Section 4.5. Objective: VICReg only (w_mae=0). 120,000-window six-sample pretraining corpus. USED by the reported Section 4.5 ablation. Hyperparameters are otherwise identical across the two corpus generations.
ckpt/encoder_abl_viconly_120k_seed1.pt	ablation	mam_vicreg	2614226	115613818beb7643bfe93a0863d832a2fe6a974e60b3002021eab7ceb78af937	647078	128	25	31200	0	OK	Objective ablation, Section 4.5. Objective: VICReg only (w_mae=0). 120,000-window six-sample pretraining corpus. USED by the reported Section 4.5 ablation. Hyperparameters are otherwise identical across the two corpus generations.
ckpt/encoder_abl_viconly_120k_seed2.pt	ablation	mam_vicreg	2614226	050e507c77d88bacb4cc651e28b638599ccdfdd793c6c3bf673a0e72376ed7ea	647078	128	25	31200	0	OK	Objective ablation, Section 4.5. Objective: VICReg only (w_mae=0). 120,000-window six-sample pretraining corpus. USED by the reported Section 4.5 ablation. Hyperparameters are otherwise identical across the two corpus generations.
ckpt/encoder_sas_seed0.pt	sas	sas	2613828	d212a6a7dc2bcb60409b4387e35ef7d9c0116de0b1db2a19ee06f2c46608d9c3	647078	128	25	31200	1	OK	Statistic-anchored pretraining (scripts/pretrain_sas.py), 120,000-window six-sample pretraining corpus. The encoder predicts the twelve alignment summary statistics of the unoccluded window from two occluded views instead of reconstructing masked pixels. One independent seed each. feat_mean/feat_var are the pretraining-stream normaliser statistics and must be used as stored, not recomputed downstream.
